timestamp,city,ip,fqdn,site,upload,download
2018-02-02T22:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,4.8,91.92
2018-02-02T22:01:20Z,Frankfurt,80.239.199.11,ndt.iupui.mlab1.fra01.measurement-lab.org,fra01,3.51,6.91
2018-02-02T23:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,4.71,90.93
2018-02-02T23:01:10Z,Madrid,80.239.229.139,ndt.iupui.mlab1.mad03.measurement-lab.org,mad03,0.871,2.18
2018-02-03T00:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,2.55,6.37
2018-02-03T00:01:07Z,Atlanta_GA,64.86.200.203,ndt.iupui.mlab1.atl03.measurement-lab.org,atl03,0,13.01
2018-02-03T01:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,5.14,91.71
2018-02-03T01:01:12Z,Amsterdam,212.32.246.203,ndt.iupui.mlab1.ams06.measurement-lab.org,ams06,0,0
2018-02-03T02:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.68,91.66
2018-02-03T02:01:13Z,Dallas_TX,63.251.44.203,ndt.iupui.mlab1.dfw06.measurement-lab.org,dfw06,2.24,84.33
2018-02-03T03:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.23,68.82
2018-02-03T03:01:17Z,Atlanta_GA,4.71.254.147,ndt.iupui.mlab1.atl01.measurement-lab.org,atl01,11.83,67.34
2018-02-03T04:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.9,85.99
2018-02-03T04:01:07Z,Wellington,163.7.129.75,ndt.iupui.mlab1.wlg02.measurement-lab.org,wlg02,0,0
2018-02-03T05:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.89,4.68
2018-02-03T05:01:06Z,Frankfurt,195.89.146.75,ndt.iupui.mlab1.fra03.measurement-lab.org,fra03,11.02,80.05
2018-02-03T06:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.9,15.72
2018-02-03T06:01:07Z,Vienna,213.208.152.11,ndt.iupui.mlab1.vie01.measurement-lab.org,vie01,0,0
2018-02-03T07:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.76,90.72
